,Semana,segunda,segunda.1,terça,terça.1,quarta,quarta.1,quinta,quinta.1,sexta,sexta.1,sábado,sábado.1,domingo,domingo.1
14,31,12.5,6.5,13.75,7.5,12.0,5.75,8.25,4.0,11.0,4.0,10.0,1.0,2.0,0.0
18,30.0,13.25,6.0,7.75,3.0,7.25,3.0,12.5,9.0,7.5,4.0,9.5,3.0,1.0,0.0
21,29.0,12.0,7.0,13.5,5.5,8.25,1.0,13.5,10.0,13.5,7.5,12.5,5.0,6.0,0.5
24,28.0,11.0,6.0,11.75,6.75,13.0,7.0,11.75,6.0,14.0,8.5,11.5,5.5,4.0,2.25
27,27.0,12.25,3.0,5.75,2.25,15.25,7.75,10.25,7.25,13.0,6.25,11.5,3.5,5.5,2.0
30,26.0,12.25,2.25,6.5,4.0,8.75,2.5,12.0,7.25,11.75,0.0,12.25,0.0,1.0,0.0
33,25.0,11.75,3.0,9.25,6.0,13.0,8.0,14.25,7.0,7.75,2.5,12.0,0.0,2.5,0.0
36,24.0,8.0,1.75,4.5,3.0,5.5,1.25,4.25,0.0,7.5,1.75,7.75,0.0,1.5,0.0
39,23.0,13.25,6.0,12.0,8.0,9.25,5.0,12.25,8.25,15.0,8.25,10.5,2.5,0.5,0.0
42,22.0,11.25,3.75,6.75,4.75,13.25,8.25,9.5,7.0,14.0,5.25,11.0,0.0,5.5,2.0
45,21.0,2.0,0.0,4.0,3.5,11.5,5.25,12.0,6.5,13.5,7.25,10.5,0.0,4.25,2.0
48,20.0,14.0,7.0,9.75,4.25,13.0,7.5,8.25,5.25,14.0,7.75,9.75,1.0,0.0,0.0
51,19.0,14.0,7.25,12.25,5.75,11.5,5.0,12.0,5.75,12.0,3.75,16.0,1.25,4.5,1.75
54,18.0,10.25,5.0,6.75,5.0,12.5,5.0,12.75,5.25,11.5,2.5,9.0,0.0,3.5,0.0
